COURSE,TITLE,ANNUALIZED,TYPE,AP COURSE,DEPARTMENT,CHAIR,TERM,COURSE REQ (CATALOG),DESCRIPTION,,,

AHS11,ART APPRECIATION,FALSE,CORE,,ART,THOMAS,BOTH,FRESHMEN,One-Term Requirement offered in the Fall and Spring Terms,,,
ANS11QAS,STUDIO ART MIXED MEDIA,FALSE,ELECTIVE,,ART,THOMAS,BOTH,"SOPHOMORES/JUNIORS/ SENIORS, PASSED AHS11","In this one semester course, students will complete 4-5 studio art projects that build on the basic skills taught in Art Appreciation. Students will have the opportunity to explore new materials and techniques such as monoprinting, watercolor painting, collage, and sculpture, and combine these to create their own mixed-media works of art. We will also consider the work of several modern and contemporary mixed media artists. Students will visit at least one gallery or museum exhibit and write a review during the semester. There will be a final portfolio review and critique at the end of the term.Grading Policy20% Attendance, punctuality, participation in discussions, peer &amp; class critiques, studio maintenance70 % Studio Projects10% Exhibition Reviews",,,
APS11,PAINTING,FALSE,ELECTIVE,,ART,THOMAS,BOTH,"SOPHOMORES/JUNIORS/SENIORS, PASSED AHS11","This is a one semester elective course designed to introduce students to the basics of various painting mediums, such as watercolor, tempera paint, and/or acrylic paints, as well as refresh and expand drawing skills. Through various themes like identity, everyday objects, city and nature, students will be introduced to past and contemporary artists. Students will practice techniques, build on painting and drawing skills, study and discuss works by artists, provide peer critiques, produce and reflect on their own work. Grading Policy25% Attendance, punctuality, participation in discussions, peer & class critiques25% Painting notebook/ exercises50% Painting projectsStudents must in 10th, 11th, or 12th grades and passed Art Appreciation (AHS11) with an 85 or higher.",,,
AQS11QCA,COMIC ART,FALSE,ELECTIVE,,ART,THOMAS,BOTH,"SOPHOMORES/JUNIORS/SENIORS, PASSED AHS11","In this one-semester course, students learn the structural language of comics as a narrative medium. Using the traditional “blue layout to ink” method, students will produce long-form comics based on their own lives (with room for poetic license). Through slide shows, group discussions, individual research and reports, students will learn the 120-year history of a medium which started in Manhattan and has spread worldwide as an art form. We will also consider the recent body of theoretical/critical writings on comics. It’s much more than superheroes and swordsmen!",,,
AWS21X,AP STUDIO ART - DRAWING,TRUE,ELECTIVE,,ART,THOMAS,FALL,94+ IN ART APPRECIATION,"In this year-long course, students engage in a ""Sustained Investigation"" of a topic of their own personal interest, producing a portfolio of several interconnected works which demonstrate a synthesis and deep exploration of Idea, Material and Technique. Group critiques and individual one-on-one meetings with the instructor will help students curate and refine the works that they will submit digitally to the College Board in May. Students will be expected to work with a high level of independence, both in and outside of class. They will also be required to document their artistic processes in photographs and in writing.",,,
EES11S,ENGLISH,TRUE,CORE,,SPECIAL EDUCATION,PAULSON,BOTH,LIST PROVIDED,,,,
EES81QFC,FR COMPOSITION 1,TRUE,CORE,,ENGLISH,GROSSMAN,FALL,FRESHMEN,"Freshman Composition is designed to help students develop key writing skills and understand the essential elements of the writing and revision process. Over the course of the year, students will become more adept at writing in a variety of forms, including literary analysis, persuasive argument, narrative and descriptive writing, and research. The emphasis will be on producing writing that is clear, concise and thoughtful.Students will also read a variety of literary texts, including novels, memoir, drama (at least one Shakespeare play), poetry and nonfiction. These works are intended to familiarize students with diverse genres, to serve as prompts and models for their writing, and to deepen their skills as readers.",,,
EES83QEL,FOUNDATIONS OF LITERATURE 1,TRUE,CORE,,ENGLISH,GROSSMAN,FALL,SOPHOMORES,"This yearlong course invites students to read, discuss, and write about challenging and culturally formative texts of the last 3,000 years, from the Greek plays and Homer’s Odyssey to contemporary works of literature, such as Elena Ferrante’s My Brilliant Friend and Kamila Shamsie’s Home Fire. Students will consider themes as central and far-reaching as the nature of truth, the role of power and ambition in society, the meaning of artistic freedom, the complications of race and gender, and the role of fate and free will in literature and culture.",,,
EES85QAM,AMERICAN LIT ENG 5,FALSE,CORE,,ENGLISH,GROSSMAN,FALL,RISING JUNIORS,"American Literature is a semester-long core English course for juniors not enrolled in an AP English Language & Composition course. Students will encounter a variety of texts and authors considered central to the notions of the history, national identity, art and culture of the United States. It is offered in the Fall and Spring semesters, and students especially interested in this area of study are allowed to enroll during both terms of their junior year. Students taking both will encounter a completely different reading list in each semester. Students will read texts from a variety of eras in each semester. The intent is to expose students to a wide range of style, genre, and content, while allowing for meaningful comparisons between texts from different parts of our nation’s history. The story of American Literature is largely our break with European traditions to build our own culture through the contributions of our vast diversity. Themes during each semester may include: individualism, freedom, national identity, the minority experience in America, gender, war, immigration, progressivism, the urban experience, American Romanticism, and the American Dream. Students can expect to read traditional texts of the American canon, by the likes of Franklin, Douglass, Hawthorne, Emerson, Twain, Wharton, and James. But each term will include modern and postmodern authors, such as Ernest Hemingway, Zora Neale Hurston, Tennessee Williams, Arthur Miller, James Baldwin, August Wilson, Philip Roth, and Tim O’Brien. Students who do not request a fall selective or who cannot be programmed for the fall selective(s) of their choice will automatically be programmed for American Literature in the fall. Students enrolled in a selective for the fall semester will automatically be programmed for American Literature in the spring.",,,
EES85QCN,CREATIVE NONFICTION ENG5,FALSE,SELECTIVE,,ENGLISH,GROSSMAN,FALL,RISING JUNIORS,"“Creative Non-Fiction” is memoir, it’s journalism – it’s using the techniques of fiction to tell a true story. Narrative scene-making, characterization, dialogue, and vivid, immersive details – these aspects of storytelling get your reader to feel and understand and be moved by your writing. These are the writing skills we will work on, to tell the stories that are meaningful to you. This class is for the student who is truly interested in writing – more interested in writing than in the numerical value that school imposes on student writing. (They’re called grades.) Care about your grades, but care more about improving as a writer, and about producing work that you are genuinely proud of, because it speaks for you and because it impacts your readers. This class is for the serious student of writing. Over the course of the semester we will read non-fiction and fiction; we will study the material for content (what it’s saying to us) and technique (how it achieves its effects); and we will produce 3-4 essays of at least five pages each. Have I mentioned: This class is for the serious student of writing.",,,
